Date (dd/mm/yyyy),CustomerID,PromotionID,Product ID,Units Sold,Price Per Unit,Total Sales,Discount Percentage,Discount Value,Net Sales,Profit,Order ID,Year,Quarter,Month,Weekday,Profit Margin,Customer Name,City,State,Pincode,EmailID,Phone Number,Product Name,Product Line,Price (INR),Promotion Name,Ad Type,Coupon Code,Price Reduction Type
2020-01-30,1,0,P018,1,2299,2299,0,0.0,2299.0,229.9,29,2020,1,January,Thursday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Prestige Pressure Cooker,Home Appliances,2299,,,,
2021-12-31,1,0,P008,3,5499,16497,0,0.0,16497.0,1649.7,1806,2021,4,December,Friday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Puma Sports Shoes,Footwear,5499,,,,
2022-06-15,1,0,P008,3,5499,16497,0,0.0,16497.0,1649.7,2123,2022,2,June,Wednesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Puma Sports Shoes,Footwear,5499,,,,
2020-06-02,1,0,P013,3,15999,47997,0,0.0,47997.0,4799.7,496,2020,2,June,Tuesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Raymond Suit,Clothing,15999,,,,
2020-06-28,1,0,P009,3,3499,10497,0,0.0,10497.0,1049.7,561,2020,2,June,Sunday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Levi's Denim Jeans,Clothing,3499,,,,
2020-12-16,1,0,P022,3,1999,5997,0,0.0,5997.0,599.7,925,2020,4,December,Wednesday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Borosil Glass Set,Kitchenware,1999,,,,
2020-12-21,1,0,P006,3,7499,22497,0,0.0,22497.0,2249.7,963,2020,4,December,Monday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Nike Running Shoes,Footwear,7499,,,,
2021-02-18,1,0,P004,3,64999,194997,0,0.0,194997.0,19499.7,1107,2021,1,February,Thursday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,HP Pavilion Laptop,Electronics,64999,,,,
2021-06-07,1,0,P004,3,64999,194997,0,0.0,194997.0,19499.7,1366,2021,2,June,Monday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,HP Pavilion Laptop,Electronics,64999,,,,
2021-09-03,1,0,P002,3,69999,209997,0,0.0,209997.0,20999.7,1474,2021,3,September,Friday,10.0,Aarav Singh,Nagpur       , Maharashtra   ,440001,1Aarav@gmail.com,860135097,Samsung Galaxy S21,Electronics,69999,,,,
